,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
2779,NH,0.75,1.4166666666666667,D,L,L,L,L,W,-0.6666666666666666,0.08333333333333333,-0.3333333333333333,5.0
2780,NH,0.8461538461538461,1.6153846153846154,L,W,L,W,W,D,-0.46153846153846156,0.3076923076923077,-0.5384615384615384,7.0
2781,NH,0.5384615384615384,0.6923076923076923,D,D,L,D,L,L,-0.5384615384615384,-0.8461538461538461,0.15384615384615385,-5.0
2782,NH,1.8461538461538463,1.4615384615384615,W,W,W,W,W,L,0.7692307692307693,0.3076923076923077,0.3076923076923077,-4.0
2783,H,2.076923076923077,1.6923076923076923,D,W,W,L,D,W,1.1538461538461537,0.3076923076923077,0.23076923076923078,-9.0
2784,NH,1.6923076923076923,1.9230769230769231,W,D,W,W,L,W,0.7692307692307693,0.23076923076923078,0.07692307692307693,-5.0
2785,H,0.6153846153846154,0.6153846153846154,D,L,L,L,L,L,-0.38461538461538464,-0.6923076923076923,0.23076923076923078,-13.0
2786,NH,1.0,2.3076923076923075,L,W,L,W,D,D,-0.8461538461538461,1.3076923076923077,-0.38461538461538464,4.0
2787,H,2.3076923076923075,0.6153846153846154,W,D,D,L,L,L,1.3076923076923077,-0.6923076923076923,0.8461538461538461,-14.0
2788,NH,0.8461538461538461,1.6923076923076923,L,W,L,W,D,W,-0.46153846153846156,0.7692307692307693,-0.7692307692307693,9.0
2789,H,0.5384615384615384,2.076923076923077,D,D,L,D,W,W,-0.5384615384615384,1.1538461538461537,-0.7692307692307693,6.0
2790,NH,0.42857142857142855,1.7857142857142858,L,L,L,D,W,W,-1.8571428571428572,0.7142857142857143,-0.8571428571428571,16.0
2791,H,1.4285714285714286,0.7142857142857143,D,W,W,D,L,D,0.2857142857142857,-0.6428571428571429,0.35714285714285715,-12.0
2792,H,1.8571428571428572,0.9285714285714286,D,W,L,L,L,W,0.21428571428571427,-0.9285714285714286,0.2857142857142857,6.0
2793,NH,0.7142857142857143,1.7142857142857142,D,D,L,W,W,W,-0.7857142857142857,0.5,-0.5714285714285714,1.0
2794,NH,1.2857142857142858,1.9285714285714286,L,D,L,W,W,D,-0.14285714285714285,1.1428571428571428,-0.5,10.0
2795,NH,0.8571428571428571,1.6428571428571428,L,W,D,D,L,D,-0.2857142857142857,0.2857142857142857,-0.21428571428571427,8.0
2796,NH,1.3571428571428572,0.7857142857142857,D,W,D,W,D,L,0.5714285714285714,-0.07142857142857142,0.2857142857142857,10.0
2797,NH,1.6428571428571428,1.7142857142857142,D,L,D,W,W,W,0.2857142857142857,0.5,-0.14285714285714285,-1.0
2798,NH,1.7142857142857142,2.357142857142857,W,W,W,W,W,D,0.5,1.3571428571428572,-0.07142857142857142,7.0
2799,H,1.6428571428571428,1.2857142857142858,D,L,D,L,D,L,0.2857142857142857,-0.14285714285714285,0.2857142857142857,-3.0
2800,H,1.8666666666666667,1.2666666666666666,W,D,W,L,D,W,0.8,0.4666666666666667,0.4666666666666667,-13.0
2801,NH,1.7333333333333334,1.5333333333333334,W,D,W,W,D,W,0.8,0.6666666666666666,0.06666666666666667,3.0
2802,NH,0.8666666666666667,0.6666666666666666,L,L,L,L,D,D,-0.9333333333333333,-0.9333333333333333,0.06666666666666667,-4.0
2803,H,0.6666666666666666,0.4,L,D,L,L,L,L,-1.0,-1.8666666666666667,0.06666666666666667,0.0
2804,NH,0.5333333333333333,1.9333333333333333,L,L,L,W,D,W,-1.0,0.26666666666666666,-0.6666666666666666,4.0
2805,H,2.0,0.7333333333333333,W,W,W,W,D,D,1.3333333333333333,-0.4,0.3333333333333333,-4.0
2806,NH,0.8,0.7333333333333333,D,W,D,L,L,L,-0.06666666666666667,-0.6,0.13333333333333333,-13.0
2807,H,2.0,0.8666666666666667,L,W,D,D,L,W,1.0666666666666667,-0.26666666666666666,0.26666666666666666,-17.0
2808,NH,1.2,2.4,L,L,D,W,W,W,-0.26666666666666666,1.3333333333333333,-0.6666666666666666,9.0
2809,NH,1.8,1.7333333333333334,W,W,W,W,D,W,0.7333333333333333,0.8,0.13333333333333333,2.0
2810,H,1.9375,0.8125,W,W,D,W,L,D,0.8125,-0.875,0.5,-16.0
2811,H,1.5,0.8125,D,W,D,L,D,L,0.625,-0.375,0.375,-12.0
2812,H,2.0625,0.375,W,L,W,L,L,L,1.125,-1.8125,0.625,-17.0
2813,H,1.1875,0.875,D,L,L,W,L,L,-0.25,-0.5,-0.25,-5.0
2814,H,0.875,1.875,D,L,L,L,W,W,-0.875,1.125,-0.375,5.0
2815,NH,1.625,1.375,W,L,D,W,L,D,0.125,0.5,-0.1875,-5.0
2816,H,0.6875,0.5625,L,W,D,D,L,L,-0.625,-0.9375,0.3125,-11.0
2817,H,0.6875,2.3125,D,L,D,D,W,W,-0.875,1.25,-0.5,8.0
2818,H,0.75,1.875,L,D,W,D,W,D,-0.125,0.25,-0.1875,-9.0
2819,NH,0.875,0.875,W,L,L,D,L,L,-0.5,-0.875,0.125,10.0
2820,NH,0.35294117647058826,0.8235294117647058,L,L,L,W,D,L,-1.8823529411764706,-0.7647058823529411,-0.35294117647058826,6.0
2821,NH,0.7647058823529411,1.2941176470588236,L,L,D,W,D,L,-0.5294117647058824,-0.17647058823529413,-0.058823529411764705,5.0
2822,H,1.7647058823529411,0.8235294117647058,L,D,W,W,L,W,0.17647058823529413,-0.4117647058823529,0.0,7.0
2823,NH,1.7647058823529411,0.8823529411764706,W,D,W,W,L,D,0.8235294117647058,-0.058823529411764705,0.17647058823529413,4.0
2824,NH,0.7647058823529411,1.588235294117647,L,W,L,L,L,W,-0.9411764705882353,0.47058823529411764,-0.29411764705882354,7.0
2825,NH,1.2941176470588236,1.588235294117647,L,W,L,W,D,W,0.35294117647058826,0.7647058823529411,-0.23529411764705882,9.0
2826,H,0.5294117647058824,1.5294117647058822,L,D,L,L,W,L,-1.0588235294117647,0.058823529411764705,-0.17647058823529413,8.0
2827,H,2.176470588235294,2.0,L,D,W,W,W,W,1.1176470588235294,0.8823529411764706,-0.17647058823529413,2.0
2828,NH,1.7647058823529411,2.1176470588235294,L,L,W,W,W,L,1.0,1.2352941176470589,-0.058823529411764705,2.0
2829,H,2.176470588235294,0.8823529411764706,L,D,W,W,L,D,1.1176470588235294,-0.058823529411764705,0.11764705882352941,-1.0
2830,NH,1.5555555555555556,1.8333333333333333,D,L,L,W,L,D,0.4444444444444444,0.2777777777777778,-0.05555555555555555,-3.0
2831,H,0.7777777777777778,0.8333333333333334,L,W,L,D,L,W,-0.5,-0.5,0.16666666666666666,-11.0
2832,NH,0.7222222222222222,0.6666666666666666,L,L,L,W,L,D,-0.5555555555555556,-0.8888888888888888,-0.16666666666666666,0.0
2833,H,1.8333333333333333,1.6666666666666667,W,L,L,L,W,D,1.1111111111111112,0.7222222222222222,0.05555555555555555,-6.0
2834,NH,0.9444444444444444,1.3888888888888888,W,W,D,W,L,W,-0.6666666666666666,0.3888888888888889,0.05555555555555555,-3.0
2835,H,1.0,0.7777777777777778,D,W,D,D,L,W,-0.6666666666666666,-0.8888888888888888,0.0,-10.0
2836,NH,1.4444444444444444,1.8888888888888888,L,L,W,L,W,W,-0.05555555555555555,0.7777777777777778,-0.3333333333333333,8.0
2837,H,2.1666666666666665,1.6666666666666667,W,W,W,W,W,D,1.2222222222222223,0.8333333333333334,0.05555555555555555,-5.0
2838,NH,1.3888888888888888,0.3333333333333333,W,W,D,L,L,L,-0.1111111111111111,-1.8333333333333333,0.3888888888888889,-5.0
2839,H,0.8333333333333334,0.9444444444444444,D,L,W,W,W,D,-0.5,-0.6666666666666666,-0.2222222222222222,6.0
2840,NH,1.9473684210526316,1.5263157894736843,W,L,W,D,D,L,0.7894736842105263,0.42105263157894735,0.3684210526315789,-9.0
2841,NH,0.3684210526315789,1.894736842105263,D,L,L,W,W,L,-1.736842105263158,1.105263157894737,-0.42105263157894735,15.0
2842,H,1.5789473684210527,0.8947368421052632,L,W,W,W,L,W,0.7368421052631579,-0.3157894736842105,0.05263157894736842,-1.0
2843,NH,1.5789473684210527,2.263157894736842,L,L,W,W,W,L,0.5263157894736842,1.105263157894737,-0.15789473684210525,5.0
2844,NH,0.7368421052631579,2.210526315789474,L,D,L,W,W,W,-0.8947368421052632,1.2105263157894737,-0.42105263157894735,17.0
2845,H,0.9473684210526315,0.7368421052631579,L,W,W,D,L,L,-0.05263157894736842,-0.5263157894736842,0.2631578947368421,-13.0
2846,NH,1.368421052631579,1.105263157894737,D,W,L,W,D,W,0.3684210526315789,-0.5789473684210527,-0.05263157894736842,7.0
2847,H,0.6842105263157895,1.368421052631579,D,W,L,D,W,W,-0.8421052631578947,-0.10526315789473684,-0.15789473684210525,5.0
2848,NH,1.7894736842105263,1.368421052631579,D,W,L,L,L,L,0.2631578947368421,-0.10526315789473684,0.2631578947368421,4.0
2849,NH,0.7894736842105263,0.7368421052631579,L,D,L,D,L,L,-0.631578947368421,-0.5263157894736842,0.10526315789473684,0.0
2850,H,1.9,1.3,D,W,L,L,D,W,0.75,-0.15,0.1,-11.0
2851,NH,1.65,2.2,W,L,W,D,W,W,0.8,1.05,0.1,2.0
2852,NH,1.55,0.85,D,L,L,L,L,W,0.5,-0.8,-0.1,-3.0
2853,H,0.7,0.85,L,L,D,L,W,L,-1.05,-0.4,-0.1,11.0
2854,H,1.05,1.1,W,L,W,D,W,D,0.15,-0.55,0.0,-3.0
2855,H,1.45,2.25,W,D,W,W,W,W,0.4,1.35,-0.25,14.0
2856,NH,0.8,1.5,W,D,W,D,D,D,-0.75,0.4,0.25,7.0
2857,NH,0.35,1.35,L,D,L,D,L,L,-1.7,-0.1,-0.15,8.0
2858,NH,1.75,1.85,D,D,W,D,W,W,0.25,1.05,-0.05,11.0
2859,H,2.2,1.45,D,W,W,W,D,W,1.05,0.4,-0.1,-11.0
2860,H,1.5714285714285714,1.1428571428571428,W,D,D,W,W,L,0.42857142857142855,0.23809523809523808,-0.2857142857142857,6.0
2861,NH,0.7142857142857143,1.9523809523809523,D,L,D,W,D,W,-0.6666666666666666,0.7619047619047619,-0.38095238095238093,16.0
2862,H,2.142857142857143,0.9047619047619048,L,W,W,D,W,L,1.2380952380952381,-0.42857142857142855,0.3333333333333333,-17.0
2863,NH,0.9523809523809523,1.5714285714285714,W,L,L,L,W,L,-0.7142857142857143,0.6190476190476191,0.0,6.0
2864,NH,1.0476190476190477,1.4761904761904763,L,D,W,L,D,L,-0.6190476190476191,0.42857142857142855,0.19047619047619047,-1.0
2865,H,1.4285714285714286,0.8095238095238095,W,D,L,W,L,L,-0.047619047619047616,-0.9047619047619048,0.0,-8.0
2866,H,0.8095238095238095,0.3333333333333333,L,L,W,L,L,D,-0.47619047619047616,-1.6666666666666667,0.23809523809523808,-11.0
2867,NH,1.8095238095238095,0.7619047619047619,D,D,W,L,W,D,1.0,-0.7619047619047619,0.047619047619047616,-15.0
2868,NH,1.2380952380952381,1.7142857142857142,L,L,D,D,D,D,-0.19047619047619047,0.23809523809523808,0.047619047619047616,-1.0
